artist,artist_processed,rank,song,year,ID_index,negative,positive,n
the supremes,the supremes,30,you keep me hangin on,1966,130,1,15,270
sam the sham and the pharaohs,sam the sham and the pharaohs,31,lil red riding hood,1966,131,7,13,234
mitch ryder & the detroit wheels,mitch ryder,32,devil with a blue dress ongood golly miss molly,1966,132,NA,NA,NA
mitch ryder & the detroit wheels,the detroit wheels,32,devil with a blue dress ongood golly miss molly,1966,132,NA,NA,NA
the beach boys,the beach boys,33,good vibrations,1966,133,0,58,279
the mindbenders,the mindbenders,34,a groovy kind of love,1966,134,0,17,165
dusty springfield,dusty springfield,35,you dont have to say you love me,1966,135,1,4,157
the capitols,the capitols,36,cool jerk,1966,136,18,21,286
sandy posey,sandy posey,37,born a woman,1966,137,5,7,117
the cyrkle,the cyrkle,38,red rubber ball,1966,138,5,8,220
carla thomas,carla thomas,39,baby,1966,139,2,10,159
the left banke,the left banke,40,walk away renee,1966,140,6,0,147
the lovin spoonful,the lovin spoonful,41,daydream,1966,141,2,6,184
the outsiders,the outsiders,42,time wont let me,1966,142,0,3,150
tommy roe,tommy roe,43,hooray for hazel,1966,143,14,4,191
tommy roe,tommy roe,44,sweet pea,1966,144,0,21,237
the hollies,the hollies,45,bus stop,1966,145,0,15,204
james & bobby purify,james,46,im your puppet,1966,146,1,10,175
james & bobby purify,bobby purify,46,im your puppet,1966,146,1,10,175
bj thomas,bj thomas,47,im so lonesome i could cry,1966,147,10,0,94
the temptations,the temptations,48,aint too proud to beg,1966,148,2,23,260
the standells,the standells,49,dirty water,1966,149,5,17,181
bob lind,bob lind,50,elusive butterfly,1966,150,4,6,192
simon & garfunkel,simon & garfunkel,51,i am a rock,1966,151,5,8,161
ray charles,ray charles,52,crying time,1966,152,6,11,149
johnny rivers,johnny rivers,53,secret agent man,1966,153,4,4,143
simon & garfunkel,simon & garfunkel,54,the sound of silence,1966,154,3,5,212
peter and gordon,peter,55,lady godiva,1966,155,3,6,148
peter and gordon,gordon,55,lady godiva,1966,155,3,6,148
simon & garfunkel,simon & garfunkel,56,homeward bound,1966,156,2,10,180
the lovin spoonful,the lovin spoonful,57,did you ever have to make up your mind,1966,157,2,7,164
robert parker,robert parker,58,barefootin,1966,158,1,1,139
stevie wonder,stevie wonder,59,uptight everythings alright,1966,159,3,16,235
cher,cher,60,bang bang my baby shot me down,1966,160,2,4,160
the beach boys,the beach boys,61,sloop john b,1966,161,7,3,245
the rolling stones,the rolling stones,62,19th nervous breakdown,1966,162,13,17,302
the surfaris,the surfaris,63,wipe out,1966,163,NA,NA,NA
count five,count five,64,psychotic reaction,1966,164,3,8,84
the temptations,the temptations,65,beauty is only skin deep,1966,165,1,29,242
the tbones,the tbones,66,no matter what shape your stomachs in,1966,166,NA,NA,NA
paul revere & the raiders,paul revere & the raiders,67,just like me,1966,167,2,21,161
deon jackson,deon jackson,68,love makes the world go round,1966,168,1,17,146
crispian st peters,crispian st peters,69,the pied piper,1966,169,1,2,133
brenda lee,brenda lee,70,coming on strong,1966,170,5,9,116
ray conniff singers,ray conniff singers,71,somewhere my love,1966,171,0,9,103
david houston,david houston,72,almost persuaded,1966,172,0,3,105
bobby darin,bobby darin,73,if i were a carpenter,1966,173,3,4,114
the marvelettes,the marvelettes,74,dont mess with bill,1966,174,19,3,221
neil diamond,neil diamond,75,cherry cherry,1966,175,0,5,209
lee dorsey,lee dorsey,76,working in the coal mine,1966,176,0,2,318
dionne warwick,dionne warwick,77,message to michael,1966,177,1,5,156
lou rawls,lou rawls,78,love is a hurtin thing,1966,178,NA,NA,NA
the beach boys,the beach boys,79,barbara ann,1966,179,0,1,75
shadows of knight,shadows of knight,80,gloria,1966,180,NA,NA,NA
the supremes,the supremes,81,my world is empty without you,1966,181,10,7,174
bob dylan,bob dylan,82,rainy day women 12  35,1966,182,1,10,227
the sandpipers,the sandpipers,83,guantanamera,1966,183,0,0,52
wilson pickett,wilson pickett,84,land of 1000 dances,1966,184,1,9,114
the shades of blue,the shades of blue,85,oh how happy,1966,185,1,23,184
peter and gordon,peter,86,woman,1966,186,1,6,164
peter and gordon,gordon,86,woman,1966,186,1,6,164
the turtles,the turtles,87,you baby,1966,187,0,8,202
the vogues,the vogues,88,five oclock world,1966,188,2,3,164
los bravos,los bravos,89,black is black,1966,189,4,7,139
the beatles,the beatles,90,nowhere man,1966,190,3,4,156
hermans hermits,hermans hermits,91,dandy,1966,191,0,3,139
slim harpo,slim harpo,92,baby scratch my back,1966,192,0,2,62
gary lewis & the playboys,gary lewis & the playboys,93,shes just my style,1966,193,NA,NA,NA
chris montez,chris montez,94,the more i see you,1966,194,3,2,72
bobby fuller four,bobby fuller four,95,i fought the law,1966,195,17,13,158
the beatles,the beatles,96,yellow submarine,1966,196,0,8,200
paul revere & the raiders,paul revere & the raiders,97,hungry,1966,197,0,21,277
herb alpert and the tijuana brass,herb alpert,98,zorba the greek,1966,198,NA,NA,NA
herb alpert and the tijuana brass,the tijuana brass,98,zorba the greek,1966,198,NA,NA,NA
the yardbirds,the yardbirds,99,shapes of things,1966,199,3,4,121
wilson pickett,wilson pickett,100,6345789 soulsville usa,1966,200,NA,NA,NA
lulu,lulu,1,to sir with love,1967,201,2,6,133
the box tops,the box tops,2,the letter,1967,202,4,1,158
bobbie gentry,bobbie gentry,3,ode to billie joe,1967,203,2,7,243
the association,the association,4,windy,1967,204,0,0,190
the monkees,the monkees,5,im a believer,1967,205,5,8,159
the doors,the doors,6,light my fire,1967,206,0,7,158
frank & nancy sinatra,frank,7,somethin stupid,1967,207,3,7,172
frank & nancy sinatra,nancy sinatra,7,somethin stupid,1967,207,3,7,172
the turtles,the turtles,8,happy together,1967,208,0,17,234
the young rascals,the young rascals,9,groovin,1967,209,0,9,127
frankie valli,frankie valli,10,cant take my eyes off you,1967,210,3,33,269
the music explosion,the music explosion,11,little bit o soul,1967,211,3,3,155
tommy james and the shondells,tommy james,12,i think were alone now,1967,212,0,9,88
tommy james and the shondells,the shondells,12,i think were alone now,1967,212,0,9,88
aretha franklin,aretha franklin,13,respect,1967,213,4,9,304
stevie wonder,stevie wonder,14,i was made to love her,1967,214,0,22,256
bobby vee,bobby vee,15,come back when you grow up,1967,215,6,15,216
the buckinghams,the buckinghams,16,kind of a drag,1967,216,NA,NA,NA
arthur conley,arthur conley,17,sweet soul music,1967,217,2,7,139
the soul survivors,the soul survivors,18,expressway to your heart,1967,218,3,7,195
sam & dave,sam & dave,19,soul man,1967,219,1,6,186
the association,the association,20,never my love,1967,220,2,20,135
jay & the techniques,jay & the techniques,21,apples peaches pumpkin pie,1967,221,3,16,199
every mothers son,every mothers son,22,come on down to my boat,1967,222,2,7,131
strawberry alarm clock,strawberry alarm clock,23,incense and peppermints,1967,223,0,12,130
the rolling stones,the rolling stones,24,ruby tuesday,1967,224,7,4,143
vikki carr,vikki carr,25,it must be him,1967,225,2,13,204
the supremes,the supremes,26,love is here and now youre gone,1967,226,5,17,239
buffalo springfield,buffalo springfield,27,for what its worth,1967,227,3,1,163
brenton wood,brenton wood,28,gimme little sign,1967,228,0,5,121
the supremes,the supremes,29,the happening,1967,229,2,10,179
the beatles,the beatles,30,all you need is love,1967,230,0,47,213
engelbert humperdinck,engelbert humperdinck,31,release me,1967,231,4,10,116
marvin gaye & tammi terrell,marvin gaye,32,your precious love,1967,232,1,27,203
marvin gaye & tammi terrell,tammi terrell,32,your precious love,1967,232,1,27,203
jefferson airplane,jefferson airplane,33,somebody to love,1967,233,1,27,163
the esquires,the esquires,34,get on up,1967,234,1,1,288
van morrison,van morrison,35,brown eyed girl,1967,235,1,3,248
martha and the vandellas,martha and the vandellas,36,jimmy mack,1967,236,2,13,175
the happenings,the happenings,37,i got rhythm,1967,237,8,3,175
procol harum,procol harum,38,a whiter shade of pale,1967,238,0,2,135
the buckinghams,the buckinghams,39,dont you care,1967,239,3,11,128
the casinos,the casinos,40,then you can tell me goodbye,1967,240,1,5,139
the supremes,the supremes,41,reflections,1967,241,10,13,227
the hollies,the hollies,42,on a carousel,1967,242,2,1,189
bobby vinton,bobby vinton,43,please love me forever,1967,243,1,18,112
dionne warwick,dionne warwick,44,alfie,1967,244,3,11,121
the tremeloes,the tremeloes,45,silence is golden,1967,245,6,3,156
ed ames,ed ames,46,my cup runneth over,1967,246,0,5,94
the 5th dimension,the 5th dimension,47,up up and away,1967,247,0,19,184
scott mckenzie,scott mckenzie,48,san francisco be sure to wear flowers in your hair,1967,248,1,4,108
the cowsills,the cowsills,49,the rain the park  other things,1967,249,1,21,229
hermans hermits,hermans hermits,50,theres a kind of hush,1967,250,0,13,168
the buckinghams,the buckinghams,51,mercy mercy mercy,1967,251,3,11,159
petula clark,petula clark,52,this is my song,1967,252,1,16,129
jackie wilson,jackie wilson,53,your love keeps lifting me higher and higher,1967,253,1,23,246
the young rascals,the young rascals,54,ive been lonely too long,1967,254,29,11,241
the beatles,the beatles,55,penny lane,1967,255,2,5,209
the temptations,the temptations,56,youre my everything,1967,256,3,12,211
the seekers,the seekers,57,georgy girl,1967,257,2,2,229
five americans,five americans,58,western union,1967,258,4,2,156
aretha franklin,aretha franklin,59,baby i love you,1967,259,6,24,272
the monkees,the monkees,60,a little bit me a little bit you,1967,260,5,4,251
lesley gore,lesley gore,61,california nights,1967,261,1,7,138
the mamas & the papas,the mamas & the papas,62,dedicated to the one i love,1967,262,0,9,205
the young rascals,the young rascals,63,how can i be sure,1967,263,2,13,174
the hollies,the hollies,64,carrie anne,1967,264,1,17,185
blues magoos,blues magoos,65,we aint got nothin yet,1967,265,3,2,141
the easybeats,the easybeats,66,friday on my mind,1967,266,4,7,118
the barkays,the barkays,67,soul finger,1967,267,NA,NA,NA
the spencer davis group,the spencer davis group,68,gimme some lovin,1967,268,0,38,226
the hombres,the hombres,69,let it out let it all hang out,1967,269,5,6,170
the grass roots,the grass roots,70,lets live for today,1967,270,5,26,232
peaches & herb,peaches,71,close your eyes,1967,271,0,17,150
peaches & herb,herb,71,close your eyes,1967,271,0,17,150
booker t & the mgs,booker t & the mgs,72,groovin,1967,272,NA,NA,NA
wilson pickett,wilson pickett,73,funky broadway,1967,273,1,1,120
the monkees,the monkees,74,pleasant valley sunday,1967,274,2,3,145
aretha franklin,aretha franklin,75,i never loved a man the way i love you,1967,275,10,15,206
aaron neville,aaron neville,76,tell it like it is,1967,276,4,6,110
james brown,james brown,77,cold sweat,1967,277,2,13,153
the turtles,the turtles,78,shed rather be with me,1967,278,0,9,145
keith,keith,79,986,1967,279,0,17,145
ray charles,ray charles,80,here we go again,1967,280,2,2,85
jefferson airplane,jefferson airplane,81,white rabbit,1967,281,0,3,137
four tops,four tops,82,bernadette,1967,282,1,14,265
sonny & cher,sonny,83,the beat goes on,1967,283,3,2,223
sonny & cher,cher,83,the beat goes on,1967,283,3,2,223
the royal guardsmen,the royal guardsmen,84,snoopy vs the red baron,1967,284,5,5,179
janis ian,janis ian,85,societys child,1967,285,2,1,194
neil diamond,neil diamond,86,girl youll be a woman soon,1967,286,NA,NA,NA
marvin gaye & tammi terrell,marvin gaye,87,aint no mountain high enough,1967,287,9,4,261
marvin gaye & tammi terrell,tammi terrell,87,aint no mountain high enough,1967,287,9,4,261
sandy posey,sandy posey,88,i take it back,1967,288,1,3,58
the tremeloes,the tremeloes,89,here comes my baby,1967,289,2,15,192
robert knight,robert knight,90,everlasting love,1967,290,2,21,205
peter paul and mary,peter paul and mary,91,i dig rock and roll music,1967,291,0,7,171
bill cosby,bill cosby,92,little ole man uptight everythings alright,1967,292,NA,NA,NA
the electric prunes,the electric prunes,93,i had too much to dream last night,1967,293,2,8,210
the monkees,the monkees,94,daydream believer,1967,294,1,8,174
johnny rivers,johnny rivers,95,baby i need your lovin,1967,295,6,7,137
tommy james and the shondells,tommy james,96,mirage,1967,296,0,4,210
tommy james and the shondells,the shondells,96,mirage,1967,296,0,4,210
tom jones,tom jones,97,green green grass of home,1967,297,1,10,176
the who,the who,98,i can see for miles,1967,298,4,8,337
petula clark,petula clark,99,dont sleep in the subway,1967,299,9,13,190
neil diamond,neil diamond,100,thank the lord for the night time,1967,300,NA,NA,NA
the beatles,the beatles,1,hey jude,1968,301,7,14,266
paul mauriat,paul mauriat,2,love is blue,1968,302,NA,NA,NA
bobby goldsboro,bobby goldsboro,3,honey,1968,303,15,18,315
otis redding,otis redding,4,sittin on the dock of the bay,1968,304,1,2,164
the rascals,the rascals,5,people got to be free,1968,305,0,19,252
cream,cream,6,sunshine of your love,1968,306,0,10,166
herb alpert,herb alpert,7,this guys in love with you,1968,307,2,15,163
hugo montenegro,hugo montenegro,8,the good the bad and the ugly,1968,308,1,5,215
simon & garfunkel,simon & garfunkel,9,mrs robinson,1968,309,2,15,227
archie bell & the drells,archie bell & the drells,10,tighten up,1968,310,1,4,287
jeannie c riley,jeannie c riley,11,harper valley pta,1968,311,1,6,260
o c smith,o c smith,12,little green apples,1968,312,1,5,241
tommy james and the shondells,tommy james,13,mony mony,1968,313,1,21,198
tommy james and the shondells,the shondells,13,mony mony,1968,313,1,21,198
the doors,the doors,14,hello i love you,1968,314,3,13,171
gary puckett & the union gap,gary puckett & the union gap,15,young girl,1968,315,3,15,227
the box tops,the box tops,16,cry like a baby,1968,316,15,19,186
the 5th dimension,the 5th dimension,17,stoned soul picnic,1968,317,0,1,155
hugh masekela,hugh masekela,18,grazing in the grass,1968,318,0,1,328
the grass roots,the grass roots,19,midnight confessions,1968,319,0,6,189
sly & the family stone,sly & the family stone,20,dance to the music,1968,320,0,2,129
cliff nobles,cliff nobles,21,the horse,1968,321,NA,NA,NA
the temptations,the temptations,22,i wish it would rain,1968,322,10,5,271
the delfonics,the delfonics,23,lala means i love you,1968,323,NA,NA,NA
the vogues,the vogues,24,turn around look at me,1968,324,0,3,106
john fred & his playboy band,john fred & his playboy band,25,judy in disguise with glasses,1968,325,0,3,88
classics iv,classics iv,26,spooky,1968,326,4,12,159
the supremes,the supremes,27,love child,1968,327,10,17,183
merrilee rush,merrilee rush,28,angel of the morning,1968,328,3,2,177
georgie fame,georgie fame,29,the ballad of bonnie and clyde,1968,329,5,7,179
mary hopkin,mary hopkin,30,those were the days,1968,330,11,10,285
steppenwolf,steppenwolf,31,born to be wild,1968,331,0,11,167
the intruders,the intruders,32,cowboys to girls,1968,332,1,8,211
1910 fruitgum company,1910 fruitgum company,33,simon says,1968,333,5,13,224
gary puckett & the union gap,gary puckett & the union gap,34,lady willpower,1968,334,1,15,148
the rascals,the rascals,35,a beautiful morning,1968,335,0,10,171
sergio mendes,sergio mendes,36,the look of love,1968,336,0,13,160
johnny nash,johnny nash,37,hold me tight,1968,337,4,3,112
ohio express,ohio express,38,yummy yummy yummy,1968,338,0,38,166
the crazy world of arthur brown,the crazy world of arthur brown,39,fire,1968,339,5,2,139
the troggs,the troggs,40,love is all around,1968,340,0,7,143
gene & debbe,gene,41,playboy,1968,341,7,13,193
gene & debbe,debbe,41,playboy,1968,341,7,13,193
dionne warwick,dionne warwick,42,theme from valley of the dolls,1968,342,2,3,159
mason williams,mason williams,43,classical gas,1968,343,NA,NA,NA
clarence carter,clarence carter,44,slip away,1968,344,3,6,165
the okaysions,the okaysions,45,im a girl watcher,1968,345,NA,NA,NA
aretha franklin,aretha franklin,46,sweet sweet baby since youve been gone,1968,346,4,21,242
the lemon pipers,the lemon pipers,47,green tambourine,1968,347,0,6,86
1910 fruitgum company,1910 fruitgum company,48,1 2 3 red light,1968,348,1,4,131
friend & lover,friend & lover,49,reach out of the darkness,1968,349,3,6,112
the rolling stones,the rolling stones,50,jumpin jack flash,1968,350,0,0,188
richard harris,richard harris,51,macarthur park,1968,351,2,18,312
jose feliciano,jose feliciano,52,light my fire,1968,352,4,9,250
people,people,53,i love you,1968,353,0,29,317
percy sledge,percy sledge,54,take time to know her,1968,354,1,12,228
status quo,status quo,55,pictures of matchstick men,1968,355,2,2,139
blue cheer,blue cheer,56,summertime blues,1968,356,2,4,209
marvin gaye & tammi terrell,marvin gaye,57,aint nothing like the real thing,1968,357,0,18,218
marvin gaye & tammi terrell,tammi terrell,57,aint nothing like the real thing,1968,357,0,18,218
james brown,james brown,58,i got the feelin,1968,358,0,4,132
the bee gees,the bee gees,59,ive gotta get a message to you,1968,359,4,4,212
the beatles,the beatles,60,lady madonna,1968,360,0,3,116
donovan,donovan,61,hurdy gurdy man,1968,361,1,4,100
steppenwolf,steppenwolf,62,magic carpet ride,1968,362,0,4,174
the fireballs,the fireballs,63,bottle of wine,1968,363,1,0,214
the dells,the dells,64,stay in my corner,1968,364,NA,NA,NA
willie mitchell,willie mitchell,65,soul serenade,1968,365,NA,NA,NA
tom jones,tom jones,66,delilah,1968,366,1,9,162
