artist,artist_processed,rank,song,year,ID_index,negative,positive,n
bobby brown,bobby brown,80,roni,1989,2480,0,65,513
aerosmith,aerosmith,81,love in an elevator,1989,2481,0,15,206
bon jovi,bon jovi,82,lay your hands on me,1989,2482,1,8,424
when in rome,when in rome,83,the promise,1989,2483,8,24,333
edie brickell & new bohemians,edie brickell,84,what i am,1989,2484,0,1,376
edie brickell & new bohemians,new bohemians,84,what i am,1989,2484,0,1,376
boys club,boys club,85,i remember holding you,1989,2485,7,2,237
guns n roses,guns n roses,86,paradise city,1989,2486,3,43,542
samantha fox,samantha fox,87,i wanna have some fun,1989,2487,2,15,275
rick astley,rick astley,88,she wants to dance with me,1989,2488,2,5,197
vanessa williams,vanessa williams,89,dreamin,1989,2489,4,6,333
babyface,babyface,90,its no crime,1989,2490,4,20,276
alice cooper,alice cooper,91,poison,1989,2491,26,12,286
donna summer,donna summer,92,this time i know its for real,1989,2492,4,6,227
michael jackson,michael jackson,93,smooth criminal,1989,2493,2,44,465
deon estus,deon estus,94,heaven help me,1989,2494,3,21,182
bobby brown,bobby brown,95,rock witcha,1989,2495,0,15,250
safire,safire,96,thinking of you,1989,2496,2,1,256
expose,expose,97,what you dont know,1989,2497,14,7,342
ann wilson and robin zander,ann wilson and robin zander,98,surrender to me,1989,2498,6,4,175
don henley,don henley,99,the end of the innocence,1989,2499,10,11,298
soul ii soul,soul ii soul,100,keep on movin,1989,2500,0,5,327
wilson phillips,wilson phillips,1,hold on,1990,2501,11,3,376
roxette,roxette,2,it must have been love,1990,2502,3,20,300
sinead oconnor,sinead oconnor,3,nothing compares 2 u,1990,2503,5,5,204
bell biv devoe,bell biv devoe,4,poison,1990,2504,27,13,319
madonna,madonna,5,vogue,1990,2505,3,10,368
mariah carey,mariah carey,6,vision of love,1990,2506,1,18,191
phil collins,phil collins,7,another day in paradise,1990,2507,1,14,274
en vogue,en vogue,8,hold on,1990,2508,9,19,220
billy idol,billy idol,9,cradle of love,1990,2509,16,41,309
jon bon jovi,jon bon jovi,10,blaze of glory,1990,2510,4,23,343
bell biv devoe,bell biv devoe,11,do me,1990,2511,0,5,359
michael bolton,michael bolton,12,how am i supposed to live without you,1990,2512,1,4,257
technotronic featuring felly,technotronic,13,pump up the jam,1990,2513,0,6,559
technotronic featuring felly,felly,13,pump up the jam,1990,2513,0,6,559
paula abdul and the wild pair,paula abdul,14,opposites attract,1990,2514,8,29,399
paula abdul and the wild pair,the wild pair,14,opposites attract,1990,2514,8,29,399
janet jackson,janet jackson,15,escapade,1990,2515,9,25,312
heart,heart,16,all i wanna do is make love to you,1990,2516,3,30,384
maxi priest,maxi priest,17,close to you,1990,2517,7,19,461
alannah myles,alannah myles,18,black velvet,1990,2518,1,14,222
wilson phillips,wilson phillips,19,release me,1990,2519,0,10,300
linda ronstadt and aaron neville,linda ronstadt,20,dont know much,1990,2520,1,8,169
linda ronstadt and aaron neville,aaron neville,20,dont know much,1990,2520,1,8,169
lisa stansfield,lisa stansfield,21,all around the world,1990,2521,8,1,411
calloway,calloway,22,i wanna be rich,1990,2522,2,30,290
johnny gill,johnny gill,23,rub you the right way,1990,2523,2,23,417
glenn medeiros and bobby brown,glenn medeiros,24,she aint worth it,1990,2524,9,26,445
glenn medeiros and bobby brown,bobby brown,24,she aint worth it,1990,2524,9,26,445
sweet sensation,sweet sensation,25,if wishes came true,1990,2525,6,24,265
snap,snap,26,the power,1990,2526,4,9,490
nelson,nelson,27,cant live without your love and affection,1990,2527,3,26,299
taylor dayne,taylor dayne,28,love will lead you back,1990,2528,1,20,285
jane child,jane child,29,dont wanna fall in love,1990,2529,15,29,250
seduction,seduction,30,two to make it right,1990,2530,8,2,440
linear,linear,31,sending all my love,1990,2531,9,23,272
poison,poison,32,unskinny bop,1990,2532,3,20,268
new kids on the block,new kids on the block,33,step by step,1990,2533,0,3,333
roxette,roxette,34,dangerous,1990,2534,7,9,281
billy joel,billy joel,35,we didnt start the fire,1990,2535,12,2,315
james ingram,james ingram,36,i dont have the heart,1990,2536,NA,NA,NA
rod stewart,rod stewart,37,downtown train,1990,2537,2,7,266
janet jackson,janet jackson,38,rhythm nation,1990,2538,3,15,358
tommy page,tommy page,39,ill be your everything,1990,2539,2,17,316
the b52s,the b52s,40,roam,1990,2540,0,5,280
jody watley,jody watley,41,everything,1990,2541,5,5,219
soul ii soul featuring caron wheeler,soul ii soul,42,back to life however do you want me,1990,2542,2,0,364
soul ii soul featuring caron wheeler,caron wheeler,42,back to life however do you want me,1990,2542,2,0,364
luther vandross,luther vandross,43,here and now,1990,2543,0,27,246
janet jackson,janet jackson,44,alright,1990,2544,1,49,261
vanilla ice,vanilla ice,45,ice ice baby,1990,2545,13,19,547
milli vanilli,milli vanilli,46,blame it on the rain,1990,2546,38,7,422
mc hammer,mc hammer,47,have you seen her,1990,2547,2,31,688
taylor dayne,taylor dayne,48,with every beat of my heart,1990,2548,1,4,270
janet jackson,janet jackson,49,come back to me,1990,2549,3,7,151
michelle,michelle,50,no more lies,1990,2550,0,12,87
george michael,george michael,51,praying for time,1990,2551,6,9,299
michael bolton,michael bolton,52,how can we be lovers,1990,2552,5,34,377
phil collins,phil collins,53,do you remember,1990,2553,5,7,241
after 7,after 7,54,ready or not,1990,2554,0,8,260
mc hammer,mc hammer,55,u cant touch this,1990,2555,1,9,518
phil collins,phil collins,56,i wish it would rain down,1990,2556,3,2,255
lou gramm,lou gramm,57,just between you and me,1990,2557,5,18,286
phil collins,phil collins,58,something happened on the way to heaven,1990,2558,13,11,352
janet jackson,janet jackson,59,black cat,1990,2559,12,10,293
after 7,after 7,60,cant stop,1990,2560,1,19,308
aerosmith,aerosmith,61,janies got a gun,1990,2561,16,1,304
digital underground,digital underground,62,the humpty dance,1990,2562,12,30,722
taylor dayne,taylor dayne,63,ill be your shelter,1990,2563,0,17,354
tom petty,tom petty,64,free fallin,1990,2564,6,23,149
pebbles,pebbles,65,giving you the benefit,1990,2565,15,56,702
depeche mode,depeche mode,66,enjoy the silence,1990,2566,6,2,131
tesla,tesla,67,love song,1990,2567,2,18,175
bad english,bad english,68,price of love,1990,2568,7,15,262
tyler collins,tyler collins,69,girls nite out,1990,2569,1,12,212
go west,go west,70,king of wishful thinking,1990,2570,9,1,331
chicago,chicago,71,what kind of man would i be,1990,2571,1,18,293
skid row,skid row,72,i remember you,1990,2572,2,13,291
technotronic featuring ya kid k,technotronic,73,get up before the night is over,1990,2573,4,6,229
technotronic featuring ya kid k,ya kid k,73,get up before the night is over,1990,2573,4,6,229
gloria estefan,gloria estefan,74,here we are,1990,2574,4,15,238
faith no more,faith no more,75,epic,1990,2575,8,7,306
mariah carey,mariah carey,76,love takes time,1990,2576,9,5,212
cher,cher,77,just like jesse james,1990,2577,11,17,434
the b52s,the b52s,78,love shack,1990,2578,1,43,370
milli vanilli,milli vanilli,79,all or nothing,1990,2579,3,26,372
dino,dino,80,romeo,1990,2580,1,13,231
black box,black box,81,everybody everybody,1990,2581,7,11,250
billy joel,billy joel,82,i go to extremes,1990,2582,8,10,310
babyface,babyface,83,whip appeal,1990,2583,6,45,402
paul young,paul young,84,oh girl,1990,2584,NA,NA,NA
d mob featuring cathy dennis,d mob,85,cmon and get my love,1990,2585,NA,NA,NA
d mob featuring cathy dennis,cathy dennis,85,cmon and get my love,1990,2585,NA,NA,NA
paula abdul,paula abdul,86,its just the way that you love me,1990,2586,1,32,366
the cover girls,the cover girls,87,we cant go wrong,1990,2587,17,12,218
michael bolton,michael bolton,88,when im back on my feet again,1990,2588,2,8,223
keith sweat,keith sweat,89,make you sweat,1990,2589,0,5,288
new kids on the block,new kids on the block,90,this ones for the children,1990,2590,1,5,167
aerosmith,aerosmith,91,what it takes,1990,2591,10,16,546
kiss,kiss,92,forever,1990,2592,4,10,235
the time,the time,93,jerk out,1990,2593,47,58,841
biz markie,biz markie,94,just a friend,1990,2594,1,26,589
ame lorain,ame lorain,95,whole wide world,1990,2595,5,9,413
"m""otley cr""ue","m""otley cr""ue",96,without you,1990,2596,5,2,169
jive bunny and the mastermixers,jive bunny and the mastermixers,97,swing the mood,1990,2597,13,11,320
prince,prince,98,thieves in the temple,1990,2598,19,22,247
mellow man ace,mellow man ace,99,mentirosa,1990,2599,4,11,496
kyper,kyper,100,tictactoe,1990,2600,NA,NA,NA
bryan adams,bryan adams,1,everything i do i do it for you,1991,2601,1,8,221
color me badd,color me badd,2,i wanna sex you up,1991,2602,2,11,227
cc music factory,cc music factory,3,gonna make you sweat everybody dance now,1991,2603,1,4,445
paula abdul,paula abdul,4,rush rush,1991,2604,0,21,400
timmy t,timmy t,5,one more try,1991,2605,6,10,239
emf,emf,6,unbelievable,1991,2606,6,4,174
extreme,extreme,7,more than words,1991,2607,0,8,281
hifive,hifive,8,i like the way the kissing game,1991,2608,1,42,270
surface,surface,9,the first time,1991,2609,6,9,197
amy grant,amy grant,10,baby baby,1991,2610,1,23,244
boyz ii men,boyz ii men,11,motownphilly,1991,2611,11,3,259
stevie b,stevie b,12,because i love you the postman song,1991,2612,1,7,134
mariah carey,mariah carey,13,someday,1991,2613,3,2,339
damn yankees,damn yankees,14,high enough,1991,2614,2,0,169
bette midler,bette midler,15,from a distance,1991,2615,2,16,212
whitney houston,whitney houston,16,all the man that i need,1991,2616,2,12,192
jesus jones,jesus jones,17,right here right now,1991,2617,0,1,180
color me badd,color me badd,18,i adore mi amor,1991,2618,1,22,234
janet jackson,janet jackson,19,love will never do without you,1991,2619,5,20,247
marky mark and the funky bunch featuring loleatta holloway,marky mark,20,good vibrations,1991,2620,1,27,392
marky mark and the funky bunch featuring loleatta holloway,the funky bunch,20,good vibrations,1991,2620,1,27,392
marky mark and the funky bunch featuring loleatta holloway,loleatta holloway,20,good vibrations,1991,2620,1,27,392
madonna,madonna,21,justify my love,1991,2621,4,22,219
mariah carey,mariah carey,22,emotions,1991,2622,1,16,216
roxette,roxette,23,joyride,1991,2623,7,18,247
karyn white,karyn white,24,romantic,1991,2624,2,47,372
tara kemp,tara kemp,25,hold you tight,1991,2625,1,7,159
mariah carey,mariah carey,26,i dont wanna cry,1991,2626,11,1,283
wilson phillips,wilson phillips,27,youre in love,1991,2627,0,23,264
amy grant,amy grant,28,every heartbeat,1991,2628,1,12,251
ralph tresvant,ralph tresvant,29,sensitivity,1991,2629,7,35,452
cathy dennis,cathy dennis,30,touch me all night long,1991,2630,7,23,258
londonbeat,londonbeat,31,ive been thinking about you,1991,2631,5,3,108
natural selection,natural selection,32,do anything,1991,2632,4,24,378
rem,rem,33,losing my religion,1991,2633,7,5,250
gloria estefan,gloria estefan,34,coming out of the dark,1991,2634,1,20,288
cc music factory,cc music factory,35,here we go,1991,2635,7,29,745
lenny kravitz,lenny kravitz,36,it aint over til its over,1991,2636,21,6,240
celine dion,celine dion,37,where does my heart beat now,1991,2637,5,5,239
dj jazzy jeff & the fresh prince,dj jazzy jeff,38,summertime,1991,2638,6,14,488
dj jazzy jeff & the fresh prince,the fresh prince,38,summertime,1991,2638,6,14,488
scorpions,scorpions,39,wind of change,1991,2639,0,17,288
rythm syndicate,rythm syndicate,40,passion,1991,2640,NA,NA,NA
paula abdul,paula abdul,41,the promise of a new day,1991,2641,2,59,349
whitney houston,whitney houston,42,im your baby tonight,1991,2642,3,16,464
firehouse,firehouse,43,love of a lifetime,1991,2643,0,12,140
roxette,roxette,44,fading like a flower every time you leave,1991,2644,4,9,274
tracie spencer,tracie spencer,45,this house,1991,2645,6,19,461
extreme,extreme,46,hole hearted,1991,2646,1,4,189
luther vandross,luther vandross,47,power of lovelove power,1991,2647,0,42,514
wilson phillips,wilson phillips,48,impulsive,1991,2648,6,3,185
michael bolton,michael bolton,49,love is a wonderful thing,1991,2649,0,30,273
rod stewart,rod stewart,50,rhythm of my heart,1991,2650,0,13,315
cc music factory,cc music factory,51,things that make you go hmmm,1991,2651,8,13,846
divinyls,divinyls,52,i touch myself,1991,2652,2,7,254
dna featuring suzanne vega,dna,53,toms diner,1991,2653,2,3,239
dna featuring suzanne vega,suzanne vega,53,toms diner,1991,2653,2,3,239
another bad creation,another bad creation,54,iesha,1991,2654,2,10,320
bonnie raitt,bonnie raitt,55,something to talk about,1991,2655,3,8,157
nelson,nelson,56,after the rain,1991,2656,13,8,241
vanilla ice,vanilla ice,57,play that funky music,1991,2657,11,40,598
corina,corina,58,temptation,1991,2658,5,13,221
bryan adams,bryan adams,59,cant stop this thing we started,1991,2659,NA,NA,NA
hifive,hifive,60,i cant wait another minute,1991,2660,NA,NA,NA
the klf,the klf,61,3 am eternal,1991,2661,0,12,296
michael bolton,michael bolton,62,time love and tenderness,1991,2662,20,62,425
enigma,enigma,63,sadeness part i,1991,2663,NA,NA,NA
ll cool j,ll cool j,64,around the way girl,1991,2664,35,27,542
the escape club,the escape club,65,ill be there,1991,2665,4,8,245
prince and the new power generation,prince,66,cream,1991,2666,0,13,196
prince and the new power generation,the new power generation,66,cream,1991,2666,0,13,196
heavy d & the boyz,heavy d,67,now that we found love,1991,2667,8,40,687
heavy d & the boyz,the boyz,67,now that we found love,1991,2667,8,40,687
styx,styx,68,show me the way,1991,2668,6,11,218
mariah carey,mariah carey,69,love takes time,1991,2669,9,5,212
rick astley,rick astley,70,cry for help,1991,2670,25,7,268
ub40,ub40,71,the way you do the things you do,1991,2671,0,18,355
ub40,ub40,72,here i am come and take me,1991,2672,3,4,225
tesla,tesla,73,signs,1991,2673,0,5,288
cathy dennis,cathy dennis,74,too many walls,1991,2674,1,12,284
seal,seal,75,crazy,1991,2675,14,5,318
keith sweat,keith sweat,76,ill give all my love to you,1991,2676,4,15,240
michael w smith,michael w smith,77,place in this world,1991,2677,0,2,216
poison,poison,78,something to believe in,1991,2678,19,14,383
chris isaak,chris isaak,79,wicked game,1991,2679,10,15,268
oleta adams,oleta adams,80,get here,1991,2680,0,12,228
tevin campbell,tevin campbell,81,round and round,1991,2681,0,7,418
"queensr""yche","queensr""yche",82,silent lucidity,1991,2682,8,7,252
will to power,will to power,83,im not in love,1991,2683,4,11,168
tara kemp,tara kemp,84,piece of my heart,1991,2684,0,4,115
jesus jones,jesus jones,85,real real real,1991,2685,0,15,231
cathy dennis,cathy dennis,86,just another dream,1991,2686,0,20,338
aaron neville,aaron neville,87,everybody plays the fool,1991,2687,13,22,248
black box,black box,88,strike it up,1991,2688,5,2,290
gerardo,gerardo,89,rico suave,1991,2689,0,16,312
inxs,inxs,90,disappear,1991,2690,23,9,261
deeelite,deeelite,91,groove is in the heart,1991,2691,1,10,242
sting,sting,92,all this time,1991,2692,NA,NA,NA
chesney hawkes,chesney hawkes,93,the one and only,1991,2693,0,6,234
naughty by nature,naughty by nature,94,opp,1991,2694,6,20,771
george michael,george michael,95,freedom 90,1991,2695,5,37,578
warrant,warrant,96,i saw red,1991,2696,2,12,259
winger,winger,97,miles away,1991,2697,2,4,245
saltnpepa,saltnpepa,98,do you want me,1991,2698,NA,NA,NA
rod stewart,rod stewart,99,the motown song,1991,2699,2,21,353
rem,rem,100,shiny happy people,1991,2700,1,31,152
boyz ii men,boyz ii men,1,end of the road,1992,2701,10,19,478
sir mixalot,sir mixalot,2,baby got back,1992,2702,14,20,638
kris kross,kris kross,3,jump,1992,2703,7,8,461
vanessa williams,vanessa williams,4,save the best for last,1992,2704,3,15,219
tlc,tlc,5,babybabybaby,1992,2705,0,24,348
eric clapton,eric clapton,6,tears in heaven,1992,2706,1,9,146
en vogue,en vogue,7,my lovin youre never gonna get it,1992,2707,4,30,527
red hot chili peppers,red hot chili peppers,8,under the bridge,1992,2708,3,17,252
color me badd,color me badd,9,all 4 love,1992,2709,1,27,408
jon secada,jon secada,10,just another day,1992,2710,4,2,276
shanice,shanice,11,i love your smile,1992,2711,4,25,253
mr big,mr big,12,to be with you,1992,2712,1,7,272
right said fred,right said fred,13,im too sexy,1992,2713,3,8,219
michael jackson,michael jackson,14,black or white,1992,2714,8,3,266
billy ray cyrus,billy ray cyrus,15,achy breaky heart,1992,2715,5,6,241
mariah carey,mariah carey,16,ill be there,1992,2716,0,21,237
guns n roses,guns n roses,17,november rain,1992,2717,6,10,338
tom cochrane,tom cochrane,18,life is a highway,1992,2718,2,7,333
michael jackson,michael jackson,19,remember the time,1992,2719,0,17,369
cece peniston,cece peniston,20,finally,1992,2720,3,6,396
madonna,madonna,21,this used to be my playground,1992,2721,2,9,264
patty smyth,patty smyth,22,sometimes love just aint enough,1992,2722,13,12,273
mariah carey,mariah carey,23,cant let go,1992,2723,4,3,209
house of pain,house of pain,24,jump around,1992,2724,9,13,493
prince and the new power generation,prince,25,diamonds and pearls,1992,2725,1,15,338
prince and the new power generation,the new power generation,25,diamonds and pearls,1992,2725,1,15,338
george michael and elton john,george michael,26,dont let the sun go down on me,1992,2726,7,11,245
george michael and elton john,elton john,26,dont let the sun go down on me,1992,2726,7,11,245
atlantic starr,atlantic starr,27,masterpiece,1992,2727,3,22,216
celine dion,celine dion,28,if you asked me to,1992,2728,0,3,233
en vogue,en vogue,29,giving him something he can feel,1992,2729,2,17,243
joe public,joe public,30,live and learn,1992,2730,2,3,147
jodeci,jodeci,31,come and talk to me,1992,2731,3,10,336
nirvana,nirvana,32,smells like teen spirit,1992,2732,17,12,219
bobby brown,bobby brown,33,humpin around,1992,2733,12,20,418
sophie b hawkins,sophie b hawkins,34,damn i wish i was your lover,1992,2734,17,32,476
tevin campbell,tevin campbell,35,tell me what you want me to do,1992,2735,3,11,295
tlc,tlc,36,aint 2 proud 2 beg,1992,2736,1,28,324
boyz ii men,boyz ii men,37,its so hard to say goodbye to yesterday,1992,2737,0,5,112
technotronic featuring ya kid k,technotronic,38,move this,1992,2738,27,7,535
technotronic featuring ya kid k,ya kid k,38,move this,1992,2738,27,7,535
queen,queen,39,bohemian rhapsody,1992,2739,6,7,339
arrested development,arrested development,40,tennessee,1992,2740,16,9,490
luther vandross and janet jackson,luther vandross,41,the best things in life are free,1992,2741,3,34,328
luther vandross and janet jackson,janet jackson,41,the best things in life are free,1992,2741,3,34,328
mariah carey,mariah carey,42,make it happen,1992,2742,8,6,505
elton john,elton john,43,the one,1992,2743,1,14,231
pm dawn,pm dawn,44,set adrift on memory bliss,1992,2744,4,6,255
shakespears sister,shakespears sister,45,stay,1992,2745,1,6,147
hammer,hammer,46,2 legit 2 quit,1992,2746,NA,NA,NA
kws,kws,47,please dont go,1992,2747,2,21,185
mint condition,mint condition,48,breakin my heart pretty brown eyes,1992,2748,2,14,261
the cover girls,the cover girls,49,wishing on a star,1992,2749,1,8,303
hifive,hifive,50,shes playing hard to get,1992,2750,NA,NA,NA
pm dawn,pm dawn,51,id die without you,1992,2751,2,2,274
amy grant,amy grant,52,good for me,1992,2752,3,34,251
toad the wet sprocket,toad the wet sprocket,53,all i want,1992,2753,1,5,182
michael bolton,michael bolton,54,when a man loves a woman,1992,2754,3,19,182
genesis,genesis,55,i cant dance,1992,2755,1,3,266
richard marx,richard marx,56,hazard,1992,2756,1,4,197
u2,u2,57,mysterious ways,1992,2757,2,26,228
george michael,george michael,58,too funky,1992,2758,0,33,365
the heights,the heights,59,how do you talk to an angel,1992,2759,0,7,205
u2,u2,60,one,1992,2760,3,15,233
cece peniston,cece peniston,61,keep on walkin,1992,2761,4,4,224
genesis,genesis,62,hold on my heart,1992,2762,1,2,190
karyn white,karyn white,63,the way i feel about you,1992,2763,0,23,435
celine dion and peabo bryson,celine dion,64,beauty and the beast,1992,2764,4,11,126
celine dion and peabo bryson,peabo bryson,64,beauty and the beast,1992,2764,4,11,126
kris kross,kris kross,65,warm it up,1992,2765,12,25,568
michael jackson,michael jackson,66,in the closet,1992,2766,1,9,461
arrested development,arrested development,67,people everyday,1992,2767,8,14,312
genesis,genesis,68,no son of mine,1992,2768,7,6,448
marky mark and the funky bunch,marky mark and the funky bunch,69,wildside,1992,2769,9,18,492
bryan adams,bryan adams,70,do i have to say the words,1992,2770,NA,NA,NA
the cure,the cure,71,friday im in love,1992,2771,1,8,185
ugly kid joe,ugly kid joe,72,everything about you,1992,2772,11,8,220
paula abdul,paula abdul,73,blowing kisses in the wind,1992,2773,0,47,318
bryan adams,bryan adams,74,thought id died and gone to heaven,1992,2774,NA,NA,NA
snap,snap,75,rhythm is a dancer,1992,2775,5,21,394
hammer,hammer,76,addams groove,1992,2776,3,33,480
michael bolton,michael bolton,77,missing you now,1992,2777,20,7,285
n2deep,n2deep,78,back to the hotel,1992,2778,4,9,439
kathy troccoli,kathy troccoli,79,everything changes,1992,2779,0,38,260
def leppard,def leppard,80,have you ever needed someone so bad,1992,2780,9,11,298
richard marx,richard marx,81,take this heart,1992,2781,3,4,187
firehouse,firehouse,82,when i look into your eyes,1992,2782,0,12,241
jade,jade,83,i wanna love you,1992,2783,0,37,240
boyz ii men,boyz ii men,84,uhh ahh,1992,2784,0,11,175
mary j blige,mary j blige,85,real love,1992,2785,3,53,402
the klf,the klf,86,justified and ancient,1992,2786,8,12,239
color me badd,color me badd,87,slow motion,1992,2787,4,32,439
tlc,tlc,88,what about your friends,1992,2788,8,24,499
color me badd,color me badd,89,thinkin back,1992,2789,2,28,361
charles & eddie,charles & eddie,90,would i lie to you,1992,2790,1,10,319
amy grant,amy grant,91,thats what love is for,1992,2791,4,24,279
richard marx,richard marx,92,keep coming back,1992,2792,7,9,315
en vogue,en vogue,93,free your mind,1992,2793,2,13,254
keith sweat,keith sweat,94,keep it comin,1992,2794,1,13,190
mr big,mr big,95,just take my heart,1992,2795,1,4,210
amy grant,amy grant,96,i will remember you,1992,2796,0,10,149
cece peniston,cece peniston,97,we got a love thang,1992,2797,6,13,164
def leppard,def leppard,98,lets get rocked,1992,2798,5,9,481
das efx,das efx,99,they want efx,1992,2799,9,8,448
bonnie raitt,bonnie raitt,100,i cant make you love me,1992,2800,1,5,174
whitney houston,whitney houston,1,i will always love you,1993,2801,1,19,137
tag team,tag team,2,whoomp there it is,1993,2802,11,11,374
ub40,ub40,3,cant help falling in love,1993,2803,3,11,129
janet jackson,janet jackson,4,thats the way love goes,1993,2804,2,43,397
silk,silk,5,freak me,1993,2805,7,10,387
swv,swv,6,weak,1993,2806,18,26,450
shai,shai,7,if i ever fall in love,1993,2807,1,31,241
mariah carey,mariah carey,8,dreamlover,1993,2808,1,20,244
wreckxneffect,wreckxneffect,9,rump shaker,1993,2809,NA,NA,NA
snow,snow,10,informer,1993,2810,13,10,657
dr dre,dr dre,11,nuthin but a g thang,1993,2811,19,38,631
boyz ii men,boyz ii men,12,in the still of the nite,1993,2812,0,7,124
jade,jade,13,dont walk away,1993,2813,5,16,284
htown,htown,14,knockin da boots,1993,2814,1,37,476
jodeci,jodeci,15,lately,1993,2815,7,4,199
duice,duice,16,dazzey duks,1993,2816,4,17,630
robin s,robin s,17,show me love,1993,2817,1,18,246
peabo bryson and regina belle,peabo bryson,18,a whole new world,1993,2818,0,8,239
peabo bryson and regina belle,regina belle,18,a whole new world,1993,2818,0,8,239
janet jackson,janet jackson,19,if,1993,2819,2,10,496
swv,swv,20,im so into you,1993,2820,7,6,274
vanessa williams and brian mcknight,vanessa williams,21,love is,1993,2821,6,17,191
vanessa williams and brian mcknight,brian mcknight,21,love is,1993,2821,6,17,191
soul asylum,soul asylum,22,runaway train,1993,2822,6,10,252
expose,expose,23,ill never get over you getting over me,1993,2823,3,12,234
paperboy,paperboy,24,ditty,1993,2824,11,20,658
snap,snap,25,rhythm is a dancer,1993,2825,5,21,394
billy joel,billy joel,26,the river of dreams,1993,2826,4,5,265
the proclaimers,the proclaimers,27,im gonna be 500 miles,1993,2827,0,1,175
spin doctors,spin doctors,28,two princes,1993,2828,1,17,459
swv,swv,29,right here,1993,2829,27,19,349
whitney houston,whitney houston,30,i have nothing,1993,2830,3,8,286
arrested development,arrested development,31,mr wendal,1993,2831,6,9,263
rod stewart,rod stewart,32,have i told you lately,1993,2832,9,23,213
shanice,shanice,33,saving forever for you,1993,2833,0,17,273
duran duran,duran duran,34,ordinary world,1993,2834,11,4,238
tony toni tone,tony toni tone,35,if i had no loot,1993,2835,1,17,287
meat loaf,meat loaf,36,id do anything for love but i wont do that,1993,2836,8,46,844
onyx,onyx,37,slam,1993,2837,19,9,475
pm dawn,pm dawn,38,looking through patient eyes,1993,2838,11,22,462
whitney houston,whitney houston,39,im every woman,1993,2839,4,4,259
shai,shai,40,baby im yours,1993,2840,9,19,260
duran duran,duran duran,41,come undone,1993,2841,2,18,243
tina turner,tina turner,42,i dont wanna fight,1993,2842,23,11,360
pm dawn,pm dawn,43,id die without you,1993,2843,2,2,274
95 south,95 south,44,whoot there it is,1993,2844,3,41,697
naughty by nature,naughty by nature,45,hip hop hooray,1993,2845,12,16,488
toni braxton,toni braxton,46,another sad love song,1993,2846,25,15,289
michael jackson,michael jackson,47,will you be there,1993,2847,4,17,178
shai,shai,48,comforter,1993,2848,7,30,284
bobby brown,bobby brown,49,good enough,1993,2849,1,26,470
4 non blondes,4 non blondes,50,whats up,1993,2850,4,4,278
ace of base,ace of base,51,all that she wants,1993,2851,2,3,211
prince and the new power generation,prince,52,7,1993,2852,8,22,407
prince and the new power generation,the new power generation,52,7,1993,2852,8,22,407
dr dre featuring snoop doggy dogg,dr dre,53,dre day,1993,2853,22,19,616
dr dre featuring snoop doggy dogg,snoop doggy dogg,53,dre day,1993,2853,22,19,616
brian mcknight,brian mcknight,54,one last cry,1993,2854,6,4,209
xscape,xscape,55,just kickin it,1993,2855,1,37,407
2pac,2pac,56,i get around,1993,2856,12,16,587
bon jovi,bon jovi,57,bed of roses,1993,2857,1,7,386
mary j blige,mary j blige,58,real love,1993,2858,3,53,402
portrait,portrait,59,here we go again,1993,2859,0,7,286
aerosmith,aerosmith,60,cryin,1993,2860,4,25,347
ugly kid joe,ugly kid joe,61,cats in the cradle,1993,2861,1,34,442
tlc,tlc,62,what about your friends,1993,2862,8,24,499
positive k,positive k,63,i got a man,1993,2863,5,41,749
zhane,zhane,64,hey mr dj,1993,2864,0,23,327
cypress hill,cypress hill,65,insane in the brain,1993,2865,14,11,318
madonna,madonna,66,deeper and deeper,1993,2866,3,28,473
madonna,madonna,67,rain,1993,2867,11,25,407
jeremy jordan,jeremy jordan,68,the right kind of love,1993,2868,4,50,378
inner circle,inner circle,69,bad boys,1993,2869,31,2,444
boy krazy,boy krazy,70,thats what love can do,1993,2870,8,13,247
jon secada,jon secada,71,do you believe in us,1993,2871,2,17,298
jon secada,jon secada,72,angel,1993,2872,1,7,170
kenny g,kenny g,73,forever in love,1993,2873,NA,NA,NA
janet jackson,janet jackson,74,again,1993,2874,3,13,203
dj jazzy jeff & the fresh prince,dj jazzy jeff,75,boom shake the room,1993,2875,71,14,669
dj jazzy jeff & the fresh prince,the fresh prince,75,boom shake the room,1993,2875,71,14,669
restless heart,restless heart,76,when she cries,1993,2876,8,7,186
inner circle,inner circle,77,sweat a la la la la long,1993,2877,8,4,553
ice cube,ice cube,78,it was a good day,1993,2878,20,10,438
captain hollywood project,captain hollywood project,79,more and more,1993,2879,12,2,237
the heights,the heights,80,how do you talk to an angel,1993,2880,0,7,205
digable planets,digable planets,81,rebirth of slick cool like dat,1993,2881,9,31,441
haddaway,haddaway,82,what is love,1993,2882,29,17,226
michael bolton,michael bolton,83,to love somebody,1993,2883,0,25,204
en vogue,en vogue,84,give it up turn it loose,1993,2884,23,22,442
kris kross,kris kross,85,alright,1993,2885,5,22,463
ice cube featuring das efx,ice cube,86,check yo self,1993,2886,25,12,421
ice cube featuring das efx,das efx,86,check yo self,1993,2886,25,12,421
sting,sting,87,fields of gold,1993,2887,4,9,226
dino,dino,88,ooh child,1993,2888,2,18,278
go west,go west,89,faithful,1993,2889,2,45,299
rod stewart,rod stewart,90,reason to believe,1993,2890,3,15,190
tears for fears,tears for fears,91,break it down again,1993,2891,1,16,322
